Date,Open,High,Low,Close,BuyWeightingRule,SellWeightingRule,P2L_Ratio,P2L_RatioPositive,P2L_RatioNegative,P2L_RatioNeutral,RangeVariance
2018-04-04,-0.010232,0.044795,-1.085522,-0.230174,4.000000,0.000000,10.961052,10.961052,0.000000,0.000000,4.021522
2018-04-05,0.962495,1.792450,0.874116,1.707961,2.000000,0.000000,10.815831,10.815831,0.000000,0.000000,3.555987
2018-04-06,-0.318025,-0.077451,-0.526929,-0.326562,4.000000,0.000000,10.937179,10.937179,0.000000,0.000000,4.331854
2018-04-09,0.360006,0.670158,-0.185190,0.105708,4.000000,0.000000,1.774745,1.774745,0.000000,0.000000,4.042389
2018-04-10,0.654050,0.853097,0.373597,0.691920,3.000000,0.000000,2.659230,2.659230,0.000000,0.000000,4.054135
2018-04-11,-0.127812,-0.079927,-0.712357,-0.523145,4.000000,0.000000,11.125430,11.125430,0.000000,0.000000,4.442055
2018-04-12,-0.060562,0.733588,-0.158304,0.633016,3.000000,0.000000,2.372607,2.372607,0.000000,0.000000,4.163449
2018-04-13,0.242635,0.571006,-0.017605,0.143541,3.000000,0.000000,2.583206,2.583206,0.000000,0.000000,4.192989
2018-04-16,0.193230,0.235741,-0.352613,-0.269278,3.000000,0.000000,2.511988,2.511988,0.000000,0.000000,4.222797
2018-04-17,0.266025,1.144640,0.132779,0.997324,1.000000,0.000000,0.802469,0.802469,0.000000,0.000000,4.197324
2018-04-18,0.063550,0.289339,-0.196422,0.027832,1.000000,0.000000,0.863864,0.863864,0.000000,0.000000,4.708793
2018-04-19,0.025755,0.025755,-0.302790,-0.126127,2.000000,0.000000,1.394787,1.394787,0.000000,0.000000,4.880396
2018-04-20,-0.061728,0.096687,-0.412871,-0.145002,2.000000,0.000000,1.619575,1.619575,0.000000,0.000000,5.350024
2018-04-23,-0.013238,0.270033,-0.418824,0.180415,2.000000,0.000000,1.261307,1.261307,0.000000,0.000000,5.379043
2018-04-24,0.175577,0.437301,-0.532746,-0.126150,2.000000,0.000000,11.174118,11.174118,0.000000,0.000000,5.379027
2018-04-25,-0.552892,-0.388436,-1.403114,-0.755935,4.000000,0.000000,11.166539,11.166539,0.000000,0.000000,4.903787
2018-04-26,-0.161758,0.495825,-0.234981,0.478974,4.000000,0.000000,10.918337,10.918337,0.000000,0.000000,4.125997
2018-04-27,0.452855,0.797528,0.110068,0.503941,3.000000,0.000000,10.843807,10.843807,0.000000,0.000000,3.869370
2018-04-30,0.167131,0.276757,-0.112717,0.205565,3.000000,0.000000,10.797705,10.797705,0.000000,0.000000,3.664937
