DateTime,FileName,BestGuessAcc,BessGuessLoss,BestGuess,EPOCHS,BatchSize,ModelBestAcc,ModelBestLoss,ModelBestValAcc,ModelBestValLoss,ModelBestAveLoss,ExecDuration,ExecMachine,Description,
2020-02-05 14:46:06.181310,PlayArea2.py,0.052965,8.148722,1,5,23,0.256794,10.492280,0.510611,12.248677,11.370479, 24,LTAU000735,PlayArea2 Test - Removed second dropout, 512 then 256 nodes
2020-02-05 14:46:35.380834,PlayArea2.py,0.052965,8.148722,1,5,25,0.264994,10.597131,0.541479,12.266235,11.431683, 22,LTAU000735,PlayArea2 Test - Removed second dropout, 512 then 256 nodes
2020-02-05 14:47:03.342115,PlayArea2.py,0.052965,8.148722,1,5,27,0.291848,10.810511,0.419293,12.756569,11.783540, 21,LTAU000735,PlayArea2 Test - Removed second dropout, 512 then 256 nodes
2020-02-05 14:47:30.703485,PlayArea2.py,0.052965,8.148722,1,5,29,0.309696,11.509596,0.327974,13.367804,12.438700, 20,LTAU000735,PlayArea2 Test - Removed second dropout, 512 then 256 nodes
2020-02-05 14:47:56.813895,PlayArea2.py,0.052965,8.148722,1,5,31,0.305355,10.774939,0.548553,12.955527,11.865233, 18,LTAU000735,PlayArea2 Test - Removed second dropout, 512 then 256 nodes
2020-02-06 09:16:47.994652,MyLSTMModelV1b.py,0.052965,8.148722,1,100,8,0.136678,7.179477,0.195498,8.564802,7.957449, 41211,LTAU000735,LSTMMModelV1b Sell Rule - 0.4 Dropout CLR
2020-02-06 13:51:25.906186,MyLSTMModelV1b.py,0.052965,8.148722,1,100,8,0.191349,7.213877,0.226367,8.149198,7.684841, 16476,LTAU000735,LSTMMModelV1b Sell Rule - 0.4 Dropout CLR
2020-02-07 02:05:44.250764,MyLSTMModelV1b.py,0.052965,8.148722,1,100,8,0.089725,8.205100,0.137621,8.947690,8.598471, 13531,LTAU000735,LSTMMModelV1b Sell Rule - 0.4 Dropout CLR+LRF
2020-02-07 13:44:51.303191,MyLSTMModelV1b.py,0.052965,8.148722,1,100,8,0.096961,8.085297,0.106752,8.891930,8.510191, 41943,LTAU000735,LSTMMModelV1b Sell Rule - 0.4 Dropout CLR+LRF
2020-02-08 22:09:20.317014,MyLSTMModelV1b.py,0.052965,8.148722,1,200,16,0.099212,7.954652,0.111897,8.807043,8.402729, 12251,LTAU000735,LSTMMModelV1b Sell Rule - 0.4 Dropout CLR+LRF
2020-02-09 15:25:54.710501,MyLSTMModelV1b.py,0.052965,8.148722,1,200,16,0.342016,5.691207,0.335048,7.858543,6.866596, 11355,LTAU000735,LSTMMModelV1b Sell Rule - 0.4 Dropout CLR+LRF
2020-02-10 22:11:15.776663,MyLSTMModelV1b.py,0.052965,8.148722,1,200,16,0.497512,3.523885,0.548354,6.576681,5.243077, 35989,LTAU000735,LSTMMModelV1b Sell Rule - 0.4 Dropout Nadam No CLR+LRF 0.25 TestRatio NoDupeData
2020-02-11 09:45:49.211461,MyLSTMModelV1b.py,0.052965,8.148722,1,200,16,0.516681,2.889706,0.560185,6.504103,4.845338, 41624,LTAU000735,LSTMMModelV1b Sell Rule - 0.4 Dropout Nadam No CLR+LRF 0.25 TestRatio NoDupeData
2020-02-12 22:10:18.972410,MyLSTMModelV1b.py,0.052965,8.148722,1,200,16,0.222271,8.255539,0.695473,8.514673,8.725557, 16038,LTAU000735,LSTMMModelV1b Sell Rule - 0.4 Dropout Nadam No CLR+LRF 0.25 TestRatio DupeDataSGD_CLR
2020-02-14 09:48:39.661450,MyLSTMModelV1b.py,0.052965,8.148722,1,200,16,0.232247,7.658328,0.761317,8.834642,8.296865, 44235,LTAU000735,LSTMMModelV1b Sell Rule - 0.4 Dropout Nadam No CLR+LRF 0.25 TestRatio NoDupeDataSGD+NM
2020-02-14 15:23:09.514831,MyLSTMModelV1b.py,0.052965,8.148722,1,200,16,0.263636,7.303832,0.764918,8.681944,8.031178, 14231,LTAU000735,LSTMMModelV1b Sell Rule - 0.4 Dropout Nadam No CLR+LRF 0.25 TestRatio NoDupeDataSGD+NM
2020-02-14 21:10:33.352533,MyLSTMModelV1b.py,0.052965,8.148722,1,200,16,0.246141,7.515469,0.534465,8.775672,8.168349, 19779,LTAU000735,LSTMMModelV1b Sell Rule - 0.4 Dropout Nadam No CLR+LRF 0.25 TestRatio NoDupeDataSGD+NM
2020-02-15 02:24:02.808182,MyLSTMModelV1b.py,0.052965,8.148722,1,200,16,0.446141,4.919158,0.458333,7.531504,6.418512, 18462,LTAU000735,LSTMMModelV1b Sell Rule - 0.4 Dropout Nadam No CLR+LRF 0.25 TestRatio NoDupeDataAdadelta
2020-02-15 13:54:08.520501,MyLSTMModelV1b.py,0.052965,8.148722,1,200,16,0.421612,5.096106,0.441872,7.328808,6.322453, 41394,LTAU000735,LSTMMModelV1b Sell Rule - 0.4 Dropout Nadam No CLR+LRF 0.25 TestRatio NoDupeDataAdam
2020-02-16 07:29:46.199235,MyLSTMModelV1b.py,0.052965,8.148722,1,200,16,0.437050,5.669602,0.444959,7.560692,6.653318, 63331,LTAU000735,LSTMMModelV1b Sell Rule - 0.4 Dropout Nadam No CLR+LRF 0.25 TestRatio NoDupeDataAdamax
2020-02-16 14:22:15.765992,MyLSTMModelV1b.py,0.052965,8.148722,1,200,16,0.191595,7.731013,0.599280,8.963408,8.388710, 24732,LTAU000735,LSTMMModelV1b Sell Rule - 0.4 Dropout Nadam No CLR+LRF 0.25 TestRatio NoDupeDataSGD+NM
2020-02-16 15:09:57.203283,MyLSTMModelV1b.py,0.052965,8.148722,1,200,16,0.693139,1.051873,0.604938,5.689861,3.435292, 25830,LTAU000735,LSTMMModelV1b Sell Rule - No Dropout No CLR+LRF 0.25 TestRatio NoDupeDataAdadelta
2020-02-17 08:45:25.893573,MyLSTMModelV1b.py,0.052965,8.148722,1,200,16,0.270154,6.788275,0.335905,8.415692,7.697284, 66161,LTAU000735,LSTMMModelV1b Sell Rule - 0.4 Dropout Nadam No CLR+LRF 0.25 TestRatio NoDupeDataNadam
2020-02-17 10:03:08.930851,MyLSTMModelV1b.py,0.052965,8.148722,1,200,16,0.772384,0.488457,0.612654,5.918956,3.236463, 67967,LTAU000735,LSTMMModelV1b Sell Rule - No Dropout No CLR+LRF 0.25 TestRatio NoDupeDataAdam
2020-02-17 17:59:32.550733,MyLSTMModelV1b.py,0.052965,8.148722,1,200,16,0.545283,3.304949,0.514403,5.984286,4.644617, 28579,LTAU000735,LSTMMModelV1b Sell Rule - No Dropout No CLR+LRF 0.25 TestRatio NoDupeDataAdamax
2020-02-17 21:02:10.937047,MyLSTMModelV1b.py,0.048375,2.704788,1,200,16,0.712350,0.384663,0.621914,0.657255,0.521243, 19467,LTAU000735,LSTMMModelV1b Buy Rule - No Dropout No CLR+LRF 0.25 TestRatio NoDupeDataAdadelta
2020-02-17 21:11:58.073008,MyLSTMModelV1b.py,0.052965,8.148722,1,200,16,0.658148,2.105565,0.620370,6.284130,4.369449, 44783,LTAU000735,LSTMMModelV1b Sell Rule - 0.4 Dropout Nadam No CLR+LRF 0.25 TestRatio NoDupeDataAdadelta
2020-02-18 02:25:27.594992,MyLSTMModelV1b.py,0.048375,2.704788,1,200,16,0.870326,0.135368,0.670782,0.633760,0.397406, 19387,LTAU000735,LSTMMModelV1b Buy Rule - No Dropout No CLR+LRF 0.25 TestRatio NoDupeDataAdam
